iso2,lat,lon
AW,12.55,-70.1
AF,34.51667,69.2
AO,-8.833333,13.25
AI,18.21667,-63.06667
AL,41.33333,19.81667
AD,42.5,1.5
AN,12.1,-68.93333
AE,24.46667,54.41667
AR,-34.66667,-58.5
AM,40.18333,44.5
TF,-66.66666,-140
AG,17.13333,-61.83333
AU,-33.88334,151.1667
AU,-35.3,149.133
AT,48.21667,16.36667
AZ,40.36666,49.88334
BI,-3.366667,29.31667
BE,50.83333,4.35
BJ,6.4,2.517
BJ,6.5,2.783333
BF,12.33333,-1.666667
BD,23.7,90.36667
BG,42.66667,23.3
BH,26.2,50.63334
BS,25.08333,-77.33334
BA,43.86666,18.43333
BY,53.85,27.5
BZ,17.21667,-88.8
BM,32.3,-64.8
BO,-16.5,-68.16666
BO,-19.083,-65.25
BR,-23.53,-46.63
BR,-15.78,-47.91
BB,13.1,-59.61666
BN,4.933333,114.9667
BT,27.53333,89.75
BW,-24.75,25.91667
CF,4.383333,18.61667
CA,43.65,-79.38
CA,45.42,-75.71
CC,-12.5,96.83334
CH,46.95,7.433333
CL,-33.5,-70.66666
CN,39.91667,116.4333
CI,6.82,-5.28
CI,5.316667,-4.016667
CM,3.85,11.51667
CG,-4.233333,15.23333
CK,-21.2,-159.7667
CO,4.633333,-75.06667
KM,-11.66667,43.26667
CV,14.91667,-23.5
CR,9.983334,-84.06667
CU,23.11667,-82.41666
CX,-10.41667,105.7167
KY,19.3,-81.38333
CY,35.15,33.35
CZ,50.1,14.43333
DE,52.533,13.417
DE,51.467,6.983
DJ,11.6,43.15
DM,15.3,-61.38334
DK,55.66667,12.58333
DO,18.5,-69.78333
DZ,36.83333,3
EC,-0.2333333,-78.5
EG,30.05,31.25
ER,15.33333,38.88334
EH,27.16667,-13.18333
ES,40.41667,-3.716667
EE,59.41667,24.75
ET,9.05,38.83333
FI,60.13334,25
FJ,-18.13333,178.4167
FK,-51.7,-57.85
FR,48.86666,2.333333
FO,62.01667,-6.766667
FM,6.916667,158.25
GA,0.3833333,9.416667
GB,51.5,-0.1666667
GE,41.71667,44.81667
GH,5.55,-0.25
GI,36.13334,-5.35
GN,9.516666,-15.71667
GP,16,-61.73333
GM,13.46667,-16.65
GW,11.86667,-15.65
GQ,3.75,8.8
GR,38,23.73333
GD,12.06667,-61.73333
GL,64.18333,-51.73333
GT,14.63333,-90.51667
GF,4.933333,-52.33333
GY,6.766667,-58.16667
HK,22.26667,114.15
HN,14.08333,-87.23333
HR,45.8,15.96667
HT,18.55,-72.33334
HU,47.5,19.05
ID,-6.133333,106.75
IN,28.61667,77.21667
IE,53.33333,-6.25
IR,35.66667,51.43333
IQ,33.33333,44.43333
IS,64.15,-21.96667
IL,32.08333,34.76667
IT,41.88334,12.5
JM,17.96667,-76.8
JO,31.95,35.93333
JP,35.66667,139.75
KZ,51.17,71.47
KZ,43.25,76.95
KE,-1.283333,36.83333
KG,42.9,74.6
KH,11.58333,104.9167
KI,1.383333,173.15
KN,17.28333,-62.71667
KR,37.5,127
KW,29.33333,48
LA,17.98333,102.6333
LB,33.86666,35.5
LR,6.333333,-10.76667
LY,32.73333,13.11667
LC,14.01667,-60.98333
LK,6.916667,79.86667
LS,-29.31667,27.48333
LT,54.68333,25.31667
LU,49.6,6.15
LV,56.95,24.1
MO,22.27,113.56
MA,34.03333,-6.85
MD,47,28.83333
MG,-18.86667,47.5
MV,4.166667,73.46667
MX,19.41667,-99.16666
MH,7.15,171.2
MK,42,21.46667
ML,12.66667,-7.983333
MT,35.9,14.53333
MM,16.78333,96.16666
MN,47.9,106.8667
MP,15.2,145.75
MZ,-25.96667,32.58333
MR,18.15,-15.96667
MS,16.7,-62.21667
MQ,14.6,-61.08333
MU,-20.16667,57.5
MW,-13.96667,33.81667
MY,3.133333,101.7
NA,-22.56667,17.1
NC,-22.26667,166.45
NE,13.53333,2.083333
NF,-29.05,167.9667
NG,6.45,3.466667
NG,9.18,7.17
NI,12.1,-86.3
NU,-19.01667,-169.9167
NL,52.35,4.9
NO,59.91667,10.75
NP,27.7,85.31667
NR,-0.5333334,166.9167
NZ,-44.28333,174.7833
OM,23.61667,58.63334
PK,33.66667,73.13333
PS,31.53,34.44
PA,8.95,-79.5
PN,-25.06667,-130.0833
PE,-12.1,-77.05
PH,14.61667,120.9667
PW,7.333333,134.4833
PG,-9.5,147.1167
PL,52.25,21
PR,18.44,-66.13
KP,39,125.7833
PT,38.73333,-9.133333
PY,-25.25,-57.66667
PF,-17.53333,-149.5667
QA,25.25,51.53333
RE,-20.86667,55.46667
RO,44.41667,26.11667
RU,55.75,37.7
RW,-1.933333,30.06667
SA,24.65,46.76667
SD,15.55,32.53333
SN,14.63333,-17.45
SG,1.283333,103.85
SH,-15.91667,-5.7
SB,-9.466666,159.95
SL,8.5,-13.28333
SV,13.66667,-89.16666
SM,43.95,12.49
SO,2.033333,45.35
PM,46.66667,-56.16667
ST,0.2,6.716667
SR,5.866667,-55.23333
SK,48.16667,17.16667
SI,46.06667,14.5
SE,59.33333,18.08333
SZ,-26.33333,31.13333
SC,-4.633333,55.46667
SY,33.5,36.31667
TC,21.46667,-71.13333
TD,12.16667,14.98333
TG,6.166667,1.35
TH,13.73333,100.5
TJ,38.63334,68.85
TK,-9,-172
TM,37.95,58.38334
TP,-8.57,125.58
TO,-21.15,-175.2333
TT,10.63333,-61.51667
TN,36.83333,10.21667
TR,41.03333,28.95
TR,39.93,32.85
TV,-8.5,179.2
TW,25.08333,121.5333
TZ,-6.85,39.3
TZ,-6.17,35.74
UG,0.3333333,32.58333
UA,50.41667,30.5
UY,-34.91667,-56.16667
US,40.75,-74
US,38.867,-77
UZ,41.26667,69.21667
VC,13.2,-61.23333
VE,10.58333,-66.93333
VG,18.45,-64.61667
VN,21.01667,105.8667
VU,-17.75,168.3
WF,-13.3,-176.2
WS,-13.8,171.75
YE,15.4,44.23333
YU,44.83333,20.5
ZA,-25.73,28.22
ZA,-33.93333,18.46667
ZR,-4.3,15.3
ZM,-15.46667,28.26667
ZW,-17.83333,31.05
